"cost_code","cost_code_description","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2025-01","2025-02","2025-03","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","2026-01","2026-02","2026-03","2026-04","2026-05","2026-06"
"15-01-515","TROPICAL WORLD NURSERY-CONSTR.TEMPORARY FENCE & GATES.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4922.00","0.00","0.00","1063.00","2803.49","2568.00","5510.85","669.44","5619.26","6818.62","2706.29","468.60","3923.45","2017.46","2948.79","0.00"
"15-01-530","TROPICAL WORLD NURSERY-CONSTR.TEMPORARY LABOR.Labor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","605.91","0.00","5309.37","8350.11","5383.52","5530.40","7616.20","6275.61","7852.41","11847.16","10537.09","11974.73","11118.84","11034.95","13017.37","14513.84","2549.21"
"15-01-555","TROPICAL WORLD NURSERY-CONSTR.MOT.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"15-01-560","TROPICAL WORLD NURSERY-CONSTR.FLOOR PROTECTION.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"15-01-741","TROPICAL WORLD NURSERY-CONSTR.CONSTRUCTION CLEAN.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","350.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","24880.00","0.00","822.65","0.00","1233.98","3084.95","0.00"
"15-01-743","TROPICAL WORLD NURSERY-CONSTR.SITE MAINTENANCE.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","630.64","101.25","298.28","0.00","0.00","0.00","0.00","0.00","1100.00","508.25","0.00","21292.85","15565.65","9126.23","411.33","0.00","0.00","0.00","0.00","187.60","0.00"
"15-01-744","TROPICAL WORLD NURSERY-CONSTR.TRASH REMOVAL.Labor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","205.60","171.92","0.00","0.00","291.28","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"15-01-745","TROPICAL WORLD NURSERY-CONSTR.DUMPSTERS.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","423.10","2516.30","3866.40","8560.20","23331.40","23360.30","-10301.70","15311.00","11566.80","10250.60","9700.30","7976.00","7648.70","11732.10","18313.20","0.00","0.00"
"15-02-010","TROPICAL WORLD NURSERY-CONSTR.SITEWORK.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","367200.00","243852.00","473932.00","354460.00","220031.00","216769.00","60695.00","146154.00","10933.14","209195.22","171995.39","146189.13","124070.68","101889.91","26587.50","50183.20","161253.03","79156.86","0.00","0.00"
"15-02-510","TROPICAL WORLD NURSERY-CONSTR.ELEC/H20 CONSUM-ALW.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","744.01","6103.76","2902.48","12283.84","4689.74","17603.80","5567.84","10301.89","8734.84","-798.76","2566.52","3852.00","6390.50","5769.00","1917.00","5751.00","3834.00","0.00","0.00","0.00"
