activity_id,activity_name,prior_finish,current_finish,prior_source_float,current_source_float,source_float_delta
P2-FINBLDG,"FINAL BUILDING INSPECTIONS FOR PHASE III 46 UNITS TURNOVER","2026-08-19 16:00","2026-09-09 16:00",-424.0,-536.0,-112.0
P1A-02C-FIN-40,"PRIME PAINT DRYWALL AT CORRIDOR","2026-06-23 16:00","2026-07-13 16:00",-280.0,-384.0,-104.0
P1A-02C-FIN-50,"FIRE SPRINKLER TRIM AT CORRIDOR","2026-06-26 16:00","2026-07-16 16:00",-256.0,-360.0,-104.0
P1A-02C-FIN-60,"HVAC TRIM AT CORRIDOR","2026-06-26 16:00","2026-07-16 16:00",-256.0,-360.0,-104.0
P1A-02C-FIN-80,"LOW VOLTAGE TRIM AT CORRIDOR","2026-06-30 16:00","2026-07-20 16:00",-272.0,-376.0,-104.0
P1A-03C-FIN-110,"GC PUNCH CORRIDOR","2026-07-06 16:00","2026-07-23 16:00",24.0,-80.0,-104.0
P1A-03C-FIN-120,"OWNER WALK CORRIDOR","2026-07-07 16:00","2026-07-24 16:00",24.0,-80.0,-104.0
P1A-03C-FIN-130,"OWNER PUNCH CORRIDOR","2026-07-09 16:00","2026-07-28 16:00",24.0,-80.0,-104.0
P1A-03C-FIN-140,"OWNER ACCEPTANCE / TURNOVER CORRIDOR","2026-07-10 16:00","2026-07-29 16:00",24.0,-80.0,-104.0
P1A-03C-FIN-150,"OWNER INSTALL SIGNAGE AT CORRIDOR","2026-07-06 16:00","2026-07-23 16:00",-264.0,-368.0,-104.0
P1A-KITCHEN-120,"KITCHEN HVAC STARTUP","2026-06-12 16:00","2026-06-30 16:00",-168.0,-264.0,-96.0
P1A-KITCHEN-130,"KITCHEN ACT TILE","2026-06-17 16:00","2026-07-06 16:00",-168.0,-264.0,-96.0
P1B-01-RI-120,"OVERHEAD PLUMBING ROUGH-IN & INSPECT","2026-06-05 16:00","2026-07-06 16:00",-496.0,-592.0,-96.0
P1B-01-RI-130,"INSTALL SPRINKLER HEADS & CAP & INSPECT","2026-06-05 16:00","2026-07-06 16:00",-496.0,-592.0,-96.0
P1B-01-RI-140,"OVERHEAD ELECTRICAL ROUGH-IN & INSPECT","2026-06-05 16:00","2026-07-06 16:00",-496.0,-592.0,-96.0
P1B-01U-FIN-20,INSULATE,"2026-06-11 16:00","2026-07-08 16:00",-496.0,-592.0,-96.0
P1B-EXT-01-30,"WATERPROOFING REQUIREMENTS 1ST FL","2026-06-26 16:00","2026-07-15 16:00",-328.0,-424.0,-96.0
P1B-EXT-01-40,"INSTALL RAILINGS ON EXTERIOR BUILDING","2026-07-06 16:00","2026-07-22 16:00",-328.0,-424.0,-96.0
P2-01C-FIN-110,"GC PUNCH CORRIDOR","2026-07-16 16:00","2026-08-03 16:00",-256.0,-352.0,-96.0
